surah,ayah,arabic_text,translation,footnotes
69,1,ٱلۡحَآقَّةُ,( ߟߏ߲߫ ) ߘߐߛߊ߬ߓߊߟߌ߹,
69,2,مَا ٱلۡحَآقَّةُ,ߡߋ߬ߘߋ ߘߐߛߊ߬ߓߊߟߌ ߘߌ߫؟,
69,3,وَمَآ أَدۡرَىٰكَ مَا ٱلۡحَآقَّةُ,ߡߎ߲߬ ߞߵߌ ߟߊߟߐ߲ߠߌ߲߫ ߘߐߛߊ߬ߓߊߟߌ ߟߊ߫,
69,4,كَذَّبَتۡ ثَمُودُ وَعَادُۢ بِٱلۡقَارِعَةِ,ߛߊ߬ߡߎߘߊ ߟߎ߬ ߣߌ߫ ߊ߯ߘߌ ߟߎ߫ ߞߊ߬ ( ߟߏ߲߫ ) ߖߛߎ߬-ߞߟߎ߬ߟߊ ߡߊߛߐ߬ߛߐ߬,
69,5,فَأَمَّا ثَمُودُ فَأُهۡلِكُواْ بِٱلطَّاغِيَةِ,ߛߊ߬ߡߎ߯ߘߊ ߟߎ߫ ߘߏ߲߬ ߸ ߏ߬ ߟߎ߬ ߛߌߟߊߛߊ߬ ߘߊ߫ ( ߡߊ߲߬ߞߊ߲߬ ߜߍߟߍ߲߫ ) ߘߊ߲߬ߠߊߕߊ߬ߡߌ߲߬ߣߍ߲ ߠߋ߬ ߟߊ߫,
69,6,وَأَمَّا عَادٞ فَأُهۡلِكُواْ بِرِيحٖ صَرۡصَرٍ عَاتِيَةٖ,ߊ߯ߘߌ ߟߎ߬ ߝߣߊ߫ ߘߏ߲߬ ߸ ߏ߬ ߟߎ߬ ߛߌߟߊߛߊ߬ ߘߊ߫ ߝߢߐ߫ ߞߊ߲-ߜߍߟߍ߲߫ ߝߊ߲߬ߞߊ߬ߡߊ ߟߋ߬ ߟߊ߫ ߝߏߋ߯,
69,7,سَخَّرَهَا عَلَيۡهِمۡ سَبۡعَ لَيَالٖ وَثَمَٰنِيَةَ أَيَّامٍ حُسُومٗاۖ فَتَرَى ٱلۡقَوۡمَ فِيهَا صَرۡعَىٰ كَأَنَّهُمۡ أَعۡجَازُ نَخۡلٍ خَاوِيَةٖ,ߏ߬ ߗߋ߫ ߘߴߏ߬ ߟߎ߬ ߞߊߡߊ߬ ߛߎ߫ ߥߐߙߐ߲ߥߌ߬ߟߊ߬ ߣߌ߫ ߕߟߋ߬ ߛߋߦߌ߲߫ ߠߋ߬ ߞߘߐ߫ ߝߙߍߕߍߕߍ߫ ߸ ߝߏ߫ ߌ ߘߌ߫ ߡߌ߬ߙߌ߲߬ߘߌ ߓߋ߬ߓߋ߬ߣߍ߲ ߦߴߊ߬ ߞߐ߫ ߦߏ߫ ߕߌ߲߬ߖߐ߲߬ ߦߙߌߞߎߘߎ߲ ߠߎ߬ ߟߊߥߟߏߥߟߏߣߍ߲ ߠߎ߫ ߟߋ߬,
69,8,فَهَلۡ تَرَىٰ لَهُم مِّنۢ بَاقِيَةٖ,ߦߊ߯ߟߊ߫ ߌ ߞߵߏ߬ ߟߎ߫ ߕߐ߬ ߦߋ߫ ߓߊ߬؟,
69,9,وَجَآءَ فِرۡعَوۡنُ وَمَن قَبۡلَهُۥ وَٱلۡمُؤۡتَفِكَٰتُ بِٱلۡخَاطِئَةِ,ߝߋߙߊߥߎ߲߫ ߣߴߊ߬ ߢߍߓߊ߮ ߟߎ߬ ߣߌ߫ ߘߎ߰ߦߟߍߡߊ߲ ߘߏ߲߬ߞߏ ߟߎ߫ ߣߊ߬ ߘߊ߫ ߞߎ߲߬ߞߏ ߟߎ߬ ߘߌ߫,
69,10,فَعَصَوۡاْ رَسُولَ رَبِّهِمۡ فَأَخَذَهُمۡ أَخۡذَةٗ رَّابِيَةً,ߏ߬ ߟߎ߫ ߞߵߊ߬ߟߎ߫ ߡߊ߰ߙߌ ߟߊ߫ ߞߋߟߊ ߛߐ߬ߛߐ߫ ߟߋ߬ ߸ ߏ߬ ߝߣߊ߫ ߞߵߊ߬ߟߎ߫ ߡߌ߬ߘߊ߬ ߕߍߕߊ ߟߊ߫ ߥߊߡߌ߫,
