translation_key,language_code,translation_title,translation_version,surah,ayah,arabic_text,translation,footnotes
serbian_rwwad,sr,Serbian Translation - Rowwad Translation Center,1.0.4,1,,بِسۡمِ ٱللَّهِ ٱلرَّحۡمَٰنِ ٱلرَّحِيمِ,"У име Аллаха, Милостивог, Самилосног.",
serbian_rwwad,sr,Serbian Translation - Rowwad Translation Center,1.0.4,1,,ٱلۡحَمۡدُ لِلَّهِ رَبِّ ٱلۡعَٰلَمِينَ,"Сва хвала припада Аллаху, Господару свих светова.",
serbian_rwwad,sr,Serbian Translation - Rowwad Translation Center,1.0.4,1,,ٱلرَّحۡمَٰنِ ٱلرَّحِيمِ,"Милостивом, Самилосном.",
serbian_rwwad,sr,Serbian Translation - Rowwad Translation Center,1.0.4,1,,مَٰلِكِ يَوۡمِ ٱلدِّينِ,Владару Судњега дана.,
serbian_rwwad,sr,Serbian Translation - Rowwad Translation Center,1.0.4,1,,إِيَّاكَ نَعۡبُدُ وَإِيَّاكَ نَسۡتَعِينُ,Само Тебе обожавамо и само од Тебе помоћ тражимо.,
serbian_rwwad,sr,Serbian Translation - Rowwad Translation Center,1.0.4,1,,ٱهۡدِنَا ٱلصِّرَٰطَ ٱلۡمُسۡتَقِيمَ,Упути нас на прави пут;,
serbian_rwwad,sr,Serbian Translation - Rowwad Translation Center,1.0.4,1,,صِرَٰطَ ٱلَّذِينَ أَنۡعَمۡتَ عَلَيۡهِمۡ غَيۡرِ ٱلۡمَغۡضُوبِ عَلَيۡهِمۡ وَلَا ٱلضَّآلِّينَ,"На пут оних којима си благодати Своје даровао, а не на пут оних на које си се расрдио, нити оних који су залутали.",
serbian_rwwad,sr,Serbian Translation - Rowwad Translation Center,1.0.4,2,,الٓمٓ,Елиф Лам Мим [1],"[1] Ова самостална слова на почетку овог поглавља упућују на чудесну природу Кур'ана. Незнанобошци су били изазвани да напишу нешто слично Кур'ану, па нису могли да му се супротставе, иако је Кур'ан састављен од ових слова која сачињавају арапски језик. Неспособност Арапа да смисле било шта слично њему – иако су себе сматрали најречитијим народом – указује на то да је Кур’ан Божија објава."
serbian_rwwad,sr,Serbian Translation - Rowwad Translation Center,1.0.4,2,,ذَٰلِكَ ٱلۡكِتَٰبُ لَا رَيۡبَۛ فِيهِۛ هُدٗى لِّلۡمُتَّقِينَ,Ова Књига - у коју нема сумње - упута је богобојазнима,
serbian_rwwad,sr,Serbian Translation - Rowwad Translation Center,1.0.4,2,,ٱلَّذِينَ يُؤۡمِنُونَ بِٱلۡغَيۡبِ وَيُقِيمُونَ ٱلصَّلَوٰةَ وَمِمَّا رَزَقۡنَٰهُمۡ يُنفِقُونَ,"онима који у невидљиви свет верују и који молитву обављају и удељују од онога чиме смо их Ми опскрбили,",
serbian_rwwad,sr,Serbian Translation - Rowwad Translation Center,1.0.4,2,,وَٱلَّذِينَ يُؤۡمِنُونَ بِمَآ أُنزِلَ إِلَيۡكَ وَمَآ أُنزِلَ مِن قَبۡلِكَ وَبِٱلۡأٓخِرَةِ هُمۡ يُوقِنُونَ,"и онима који верују у оно што је објављено теби и што је објављено пре тебе, и који у Будући свет чврсто верују.",
serbian_rwwad,sr,Serbian Translation - Rowwad Translation Center,1.0.4,2,,أُوْلَٰٓئِكَ عَلَىٰ هُدٗى مِّن رَّبِّهِمۡۖ وَأُوْلَٰٓئِكَ هُمُ ٱلۡمُفۡلِحُونَ,Њима је Господар њихов на прави пут указао и то су они који су успели.,
